starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 24 11:59:41 2022	1671883181	2	14	16	14
Sat Dec 24 11:59:41 2022	1671883181	0	17	17	14
Sat Dec 24 11:59:41 2022	1671883181	1	48	49	47
Sat Dec 24 11:59:41 2022	1671883181	1	65	66	64
Sat Dec 24 11:59:41 2022	1671883181	1	65	67	64
Sat Dec 24 11:59:41 2022	1671883181	1	67	67	67
Sat Dec 24 11:59:41 2022	1671883181	1	67	68	67
Sat Dec 24 11:59:41 2022	1671883181	1	70	70	69
Sat Dec 24 11:59:41 2022	1671883181	1	77	79	77
Sat Dec 24 11:59:41 2022	1671883181	1	88	89	88
Sat Dec 24 11:59:41 2022	1671883181	1	92	93	92
Sat Dec 24 11:59:41 2022	1671883181	1	93	94	93
Sat Dec 24 11:59:41 2022	1671883181	1	103	104	103
Sat Dec 24 11:59:41 2022	1671883181	1	103	104	103
Sat Dec 24 11:59:41 2022	1671883181	1	107	108	106
Sat Dec 24 11:59:41 2022	1671883181	1	109	110	109
Sat Dec 24 11:59:41 2022	1671883181	1	115	116	114
Sat Dec 24 11:59:41 2022	1671883181	1	117	118	117
Sat Dec 24 11:59:41 2022	1671883181	1	126	127	125
Sat Dec 24 11:59:41 2022	1671883181	1	130	131	130
Sat Dec 24 11:59:41 2022	1671883181	0	137	137	136
Sat Dec 24 11:59:41 2022	1671883181	1	148	149	148
Sat Dec 24 11:59:41 2022	1671883181	1	150	151	150
Sat Dec 24 11:59:41 2022	1671883181	0	153	153	153
Sat Dec 24 11:59:41 2022	1671883181	1	154	156	154
Sat Dec 24 11:59:41 2022	1671883181	1	161	162	159
Sat Dec 24 11:59:41 2022	1671883181	1	161	162	159
Sat Dec 24 11:59:41 2022	1671883181	1	161	162	159
Sat Dec 24 11:59:41 2022	1671883181	1	162	163	159
Sat Dec 24 11:59:41 2022	1671883181	0	163	163	162
Sat Dec 24 11:59:41 2022	1671883181	1	161	163	159
Sat Dec 24 11:59:41 2022	1671883181	1	162	163	159
Sat Dec 24 11:59:41 2022	1671883181	1	162	163	159
Sat Dec 24 11:59:41 2022	1671883181	2	162	163	159
Sat Dec 24 11:59:41 2022	1671883181	0	163	164	163
Sat Dec 24 11:59:41 2022	1671883181	1	163	164	163
Sat Dec 24 11:59:41 2022	1671883181	1	165	165	164
Sat Dec 24 11:59:41 2022	1671883181	1	165	166	165
Sat Dec 24 11:59:41 2022	1671883181	1	166	166	165
Sat Dec 24 11:59:41 2022	1671883181	1	165	166	164
Sat Dec 24 11:59:42 2022	1671883182	0	169	169	169
Sat Dec 24 11:59:42 2022	1671883182	0	169	169	169
Sat Dec 24 11:59:41 2022	1671883181	1	172	173	171
Sat Dec 24 11:59:41 2022	1671883181	1	176	177	176
Sat Dec 24 11:59:41 2022	1671883181	0	180	180	180
Sat Dec 24 11:59:45 2022	1671883185	0	183	183	181
Sat Dec 24 11:59:43 2022	1671883183	0	184	184	184
Sat Dec 24 11:59:42 2022	1671883182	0	184	184	184
Sat Dec 24 11:59:43 2022	1671883183	0	186	186	185
Sat Dec 24 11:59:46 2022	1671883186	0	187	187	187
Sat Dec 24 11:59:42 2022	1671883182	0	187	187	187
Sat Dec 24 11:59:41 2022	1671883181	1	186	187	179
Sat Dec 24 11:59:41 2022	1671883181	0	188	188	187
Sat Dec 24 11:59:42 2022	1671883182	0	192	192	191
Sat Dec 24 11:59:41 2022	1671883181	0	193	193	191
Sat Dec 24 11:59:44 2022	1671883184	0	193	193	193
Sat Dec 24 11:59:42 2022	1671883182	0	194	194	193
Sat Dec 24 11:59:42 2022	1671883182	0	195	195	195
Sat Dec 24 11:59:41 2022	1671883181	1	195	196	195
Sat Dec 24 11:59:41 2022	1671883181	1	195	196	195
Sat Dec 24 11:59:43 2022	1671883183	0	197	197	196
Sat Dec 24 11:59:41 2022	1671883181	0	197	197	197
Sat Dec 24 11:59:44 2022	1671883184	0	198	198	196
Sat Dec 24 11:59:42 2022	1671883182	0	198	198	197
Sat Dec 24 11:59:42 2022	1671883182	0	198	198	197
Sat Dec 24 11:59:42 2022	1671883182	0	199	199	198
Sat Dec 24 11:59:41 2022	1671883181	0	199	199	199
Sat Dec 24 11:59:41 2022	1671883181	0	200	200	200
Sat Dec 24 11:59:44 2022	1671883184	0	200	200	199
Sat Dec 24 11:59:42 2022	1671883182	0	202	202	202
Sat Dec 24 11:59:41 2022	1671883181	0	204	204	203
Sat Dec 24 11:59:41 2022	1671883181	0	204	204	204
Sat Dec 24 11:59:42 2022	1671883182	0	204	204	204
Sat Dec 24 11:59:42 2022	1671883182	0	205	205	204
Sat Dec 24 11:59:42 2022	1671883182	0	205	205	204
Sat Dec 24 11:59:46 2022	1671883186	0	205	205	205
Sat Dec 24 11:59:42 2022	1671883182	0	205	205	205
