starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 24 11:58:15 2022	1671883095	0	20	21	17
Sat Dec 24 11:58:15 2022	1671883095	0	79	80	79
Sat Dec 24 11:58:15 2022	1671883095	0	115	115	114
Sat Dec 24 11:58:15 2022	1671883095	0	126	126	126
Sat Dec 24 11:58:16 2022	1671883096	0	127	127	126
Sat Dec 24 11:58:15 2022	1671883095	0	127	127	127
Sat Dec 24 11:58:15 2022	1671883095	0	128	128	128
Sat Dec 24 11:58:15 2022	1671883095	0	135	135	134
Sat Dec 24 11:58:16 2022	1671883096	0	135	135	135
Sat Dec 24 11:58:15 2022	1671883095	0	136	136	134
Sat Dec 24 11:58:15 2022	1671883095	0	140	140	139
Sat Dec 24 11:58:15 2022	1671883095	0	143	143	141
Sat Dec 24 11:58:15 2022	1671883095	0	145	145	145
Sat Dec 24 11:58:15 2022	1671883095	2	145	146	144
Sat Dec 24 11:58:15 2022	1671883095	0	148	148	148
Sat Dec 24 11:58:15 2022	1671883095	0	149	149	149
Sat Dec 24 11:58:15 2022	1671883095	0	151	151	150
Sat Dec 24 11:58:15 2022	1671883095	0	151	151	151
Sat Dec 24 11:58:16 2022	1671883096	0	152	152	150
Sat Dec 24 11:58:15 2022	1671883095	0	154	154	154
Sat Dec 24 11:58:15 2022	1671883095	3	152	155	152
Sat Dec 24 11:58:16 2022	1671883096	0	158	158	157
Sat Dec 24 11:58:15 2022	1671883095	0	159	159	159
Sat Dec 24 11:58:15 2022	1671883095	2	159	161	158
Sat Dec 24 11:58:15 2022	1671883095	3	161	164	161
Sat Dec 24 11:58:15 2022	1671883095	0	164	164	164
Sat Dec 24 11:58:20 2022	1671883100	0	164	164	164
Sat Dec 24 11:58:15 2022	1671883095	0	169	169	169
Sat Dec 24 11:58:15 2022	1671883095	3	167	170	166
Sat Dec 24 11:58:15 2022	1671883095	3	168	171	168
Sat Dec 24 11:58:15 2022	1671883095	0	171	171	171
Sat Dec 24 11:58:16 2022	1671883096	0	171	171	171
Sat Dec 24 11:58:20 2022	1671883100	0	172	172	172
Sat Dec 24 11:58:15 2022	1671883095	2	171	173	170
Sat Dec 24 11:58:15 2022	1671883095	2	172	174	171
Sat Dec 24 11:58:15 2022	1671883095	0	175	175	174
Sat Dec 24 11:58:15 2022	1671883095	3	173	176	172
Sat Dec 24 11:58:15 2022	1671883095	3	173	176	172
Sat Dec 24 11:58:15 2022	1671883095	2	174	176	174
Sat Dec 24 11:58:15 2022	1671883095	2	175	176	174
Sat Dec 24 11:58:15 2022	1671883095	0	177	177	177
Sat Dec 24 11:58:15 2022	1671883095	1	176	178	175
Sat Dec 24 11:58:15 2022	1671883095	1	177	178	176
Sat Dec 24 11:58:15 2022	1671883095	2	177	179	176
Sat Dec 24 11:58:15 2022	1671883095	3	176	179	175
Sat Dec 24 11:58:19 2022	1671883099	0	179	179	179
Sat Dec 24 11:58:17 2022	1671883097	0	180	180	179
Sat Dec 24 11:58:15 2022	1671883095	0	180	180	179
Sat Dec 24 11:58:20 2022	1671883100	0	180	180	179
Sat Dec 24 11:58:15 2022	1671883095	2	178	180	177
Sat Dec 24 11:58:15 2022	1671883095	3	179	181	178
Sat Dec 24 11:58:15 2022	1671883095	0	181	181	181
Sat Dec 24 11:58:15 2022	1671883095	3	180	183	180
Sat Dec 24 11:58:15 2022	1671883095	3	181	183	180
Sat Dec 24 11:58:20 2022	1671883100	0	184	184	183
Sat Dec 24 11:58:15 2022	1671883095	0	184	184	184
Sat Dec 24 11:58:19 2022	1671883099	0	184	184	184
Sat Dec 24 11:58:15 2022	1671883095	2	183	185	182
Sat Dec 24 11:58:16 2022	1671883096	0	185	185	184
Sat Dec 24 11:58:15 2022	1671883095	2	183	185	183
Sat Dec 24 11:58:20 2022	1671883100	0	185	185	185
Sat Dec 24 11:58:15 2022	1671883095	0	186	186	185
Sat Dec 24 11:58:15 2022	1671883095	0	186	186	185
Sat Dec 24 11:58:19 2022	1671883099	0	187	187	187
Sat Dec 24 11:58:16 2022	1671883096	0	187	187	187
Sat Dec 24 11:58:18 2022	1671883098	0	188	188	187
